ATSDR_Route,ATSDR_Duration,ATSDR_MRL,ATSDR_Factors,ATSDR_Endpoint,ATSDR_State,ATSDR_Cover_Date,ATSDR_CASRN,ATSDR_NAME
Inh.,Acute,2 ppm,100,Neurol.,Final,Jul-06,71-55-6,"1,1,1-TRICHLOROETHANE"
Inh.,Int.,0.7 ppm,100,Neurol.,Final,Jul-06,71-55-6,"1,1,1-TRICHLOROETHANE"
Oral,Int.,20 mg/kg/day,100,Body Wt.,Final,Jul-06,71-55-6,"1,1,1-TRICHLOROETHANE"
Oral,Int.,0.5 mg/kg/day,100,Hepatic,Final,Sep-08,79-34-5,"1,1,2,2-TETRACHLOROETHANE"
Inh.,Acute,0.03 ppm,270,Resp.,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Inh.,Int.,2 ppb,30,Resp.,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Oral,Acute,0.5 mg/kg/day,100,Hepatic,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Oral,Int.,0.04 mg/kg/day,100,Immuno.,Final,Mar-21,79-00-5,"1,1,2-TRICHLOROETHANE"
Inh.,Chr.,0.6 ppb,30,Resp.,Draft,Dec-19,75-35-4,"1,1-DICHLOROETHENE"
Inh.,Int.,1 ppb,30,Resp.,Draft,Dec-19,75-35-4,"1,1-DICHLOROETHENE"
Oral,Chr.,0.05 mg/kg/day,100,Hepatic,Draft,Dec-19,75-35-4,"1,1-DICHLOROETHENE"
Inh.,Int.,0.0002 ppm,300,Hepatic,Final,Sep-97,57-14-7,"1,1-DIMETHYLHYDRAZINE"
Inh.,Acute,1 ppb,30,Resp.,Draft,May-19,96-18-4,"1,2,3-TRICHLOROPROPANE"
Oral,Chr.,5 ug/kg/day,100,Hepatic,Draft,May-19,96-18-4,"1,2,3-TRICHLOROPROPANE"
Oral,Int.,0.06 mg/kg/day,100,"Hepatic,Hemato.",Draft,May-19,96-18-4,"1,2,3-TRICHLOROPROPANE"
Oral,Chr.,0.1 mg/kg/day,100,Hepatic,Final,Oct-14,120-82-1,"1,2,4 - TRICHLOROBENZENE"
Oral,Int.,0.1 mg/kg/day,100,Hepatic,Final,Oct-14,120-82-1,"1,2,4 - TRICHLOROBENZENE"
Inh.,Int.,0.0002 ppm,100,Repro.,Final,Apr-18,96-12-8,"1,2-DIBROMO-3-CHLOROPROPANE"
Oral,Int.,0.002 mg/kg/day,1000,Repro.,Final,Apr-18,96-12-8,"1,2-DIBROMO-3-CHLOROPROPANE"
Oral,Acute,0.7 mg/kg/day,100,Hepatic,Final,Aug-06,95-50-1,"1,2-DICHLOROBENZENE"
Oral,Chr.,0.3 mg/kg/day,100,Renal,Final,Aug-06,95-50-1,"1,2-DICHLOROBENZENE"
Oral,Int.,0.6 mg/kg/day,100,Hepatic,Final,Aug-06,95-50-1,"1,2-DICHLOROBENZENE"
Inh.,Chr.,0.6 ppm,90,Hepatic,Final,Sep-01,107-06-2,"1,2-DICHLOROETHANE"
Oral,Int.,0.2 mg/kg/day,300,Renal,Final,Sep-01,107-06-2,"1,2-DICHLOROETHANE"
Oral,Acute,1 mg/kg/day,100,Hemato.,Final,Aug-96,156-59-2,"1,2-DICHLOROETHENE, CIS-"
Oral,Int.,0.3 mg/kg/day,100,Hemato.,Final,Aug-96,156-59-2,"1,2-DICHLOROETHENE, CIS-"
Inh.,Acute,0.2 ppm,1000,Hepatic,Final,Aug-96,156-60-5,"1,2-DICHLOROETHENE, TRANS-"
Inh.,Int.,0.2 ppm,1000,Hepatic,Final,Aug-96,156-60-5,"1,2-DICHLOROETHENE, TRANS-"
Oral,Int.,0.2 mg/kg/day,100,Hepatic,Final,Aug-96,156-60-5,"1,2-DICHLOROETHENE, TRANS-"
Inh.,Acute,0.02 ppm,90,Resp.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Inh.,Int.,2 ppb,30,Resp.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Oral,Acute,0.3 mg/kg/day,100,Hemato.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Oral,Int.,0.07 mg/kg/day,1000,Hemato.,Draft,Dec-19,78-87-5,"1,2-DICHLOROPROPANE"
Oral,Int.,0.0008 mg/kg/day,1000,Hepatic,Final,Sep-97,540-73-8,"1,2-DIMETHYLHYDRAZINE"
Oral,Int.,0.05 mg/kg/day,100,Hepatic,Draft,May-19,122-66-7,"1,2-DIPHENYLHYDRAZINE"
Oral,Acute,0.4 mg/kg/day,100,Hepatic,Final,Aug-06,541-73-1,"1,3-DICHLOROBENZENE"
Oral,Int.,0.02 mg/kg/day,100,Endocr.,Final,Aug-06,541-73-1,"1,3-DICHLOROBENZENE"
Inh.,Chr.,0.007 ppm,30,Resp.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Inh.,Int.,0.008 ppm,30,Resp.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Oral,Chr.,0.03 mg/kg/day,100,Gastro.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Oral,Int.,0.04 mg/kg/day,100,Gastro.,Final,Sep-08,542-75-6,"1,3-DICHLOROPROPENE"
Oral,Acute,0.08 mg/kg/day,100,Repro.,Final,Jun-95,99-65-0,"1,3-DINITROBENZENE"
Oral,Int.,0.0005 mg/kg/day,1000,Hemato.,Final,Jun-95,99-65-0,"1,3-DINITROBENZENE"
Inh.,Acute,2 ppm,10,Resp.,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Inh.,Chr.,0.01 ppm,30,Resp.,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Inh.,Int.,0.2 ppm,100,Hepatic,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Oral,Chr.,0.07 mg/kg/day,100,Hepatic,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Oral,Int.,0.07 mg/kg/day,100,Hepatic,Final,Aug-06,106-46-7,"1,4-DICHLOROBENZENE"
Inh.,Acute,2 ppm,10,Ocular,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Inh.,Chr.,0.03 ppm,300,Resp.,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Inh.,Int.,0.2 ppm,30,Resp.,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Oral,Acute,5 mg/kg/day,100,Develop.,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Oral,Chr.,0.1 mg/kg/day,100,Hepatic,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Oral,Int.,0.5 mg/kg/day,100,Hepatic,Final,Apr-12,123-91-1,"1,4-DIOXANE"
Inh.,Acute,1 ppm,30,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Inh.,Chr.,0.02 ppm,30,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Inh.,Int.,0.1 ppm,30,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Oral,Acute,0.2 mg/kg/day,100,Neurol.,Final,Aug-17,106-94-5,1-BROMOPROPANE
Oral,Chr.,0.07 mg/kg/day,1000,Resp.,Final,Aug-05,90-12-0,1-METHYLNAPHTHALENE
Oral,Acute,0.001 ug/kg/day,3000,Immuno.,Final,May-94,57117-31-4,"2,3,4,7,8-PENTACHLORO­DIBENZOFURAN"
Oral,Int.,0.00003 ug/kg/day,3000,Hepatic,Final,May-94,57117-31-4,"2,3,4,7,8-PENTACHLORO­DIBENZOFURAN"
Oral,Acute,0.0002 ug/kg/day,21,Immuno.,Final,Dec-98,1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN"
