CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
,4-Chloronitrobenzene,DTXSID5020281,100-00-5,Positive; Positive,,,,,,,,,
TR-418,p-Nitroaniline,DTXSID8020961,100-01-6,Positive; Positive,,,,,,,,,
TR-417,p-Nitrophenol,DTXSID0021834,100-02-7,Negative,,,,,,,,,
,4-Chlorobenzenesulphinic acid,DTXSID5024768,100-03-8,Negative,,,,,,,,,
,p-Nitrobenzyl chloride,DTXSID4025745,100-14-1,Positive,,,,,,,,,
,N-Methyl-4-nitroaniline,DTXSID7025635,100-15-2,Positive,,,,,,,,,
,p-Nitroacetophenone,DTXSID1025724,100-19-6,Positive,,,,,,,,,
,Terephthalic acid,DTXSID6026080,100-21-0,Negative,,,,,,,,,
,"N,N,N',N'-Tetramethyl-p-phenylenediamine",DTXSID5026124,100-22-1,Positive; Positive,,,,,,,,,
,Indium trichloride,DTXSID8033566,10025-82-8,Negative,,,,,Positive,,,,
TR-471,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Weakly Positive,,,,,,,,,
,p-Nitrophenethyl alcohol,DTXSID7025764,100-27-6,Positive,,,,,,,,,
,Sodium chromate tetrahydrate,DTXSID7026027,10034-82-9,Positive,,,,,,,,,
,Hydrazine sulfate,DTXSID8020703,10034-93-2,Positive,,,,,,,,,
TR-428,Manganese sulfate monohydrate,DTXSID4020795,10034-96-5,Negative; Negative,,,,,,,,,
,(Diethylamino)ethanol,DTXSID5021837,100-37-8,Negative,,,,,,,,,
,alpha-Bromotoluene,DTXSID8024658,100-39-0,Positive,,,,,,,,,
,Hydroxylamine sulfate (2:1),DTXSID2025424,10039-54-0,Negative,,,,,,,,,
TR-303,4-Vinylcyclohexene,DTXSID3021437,100-40-3,Negative; Negative,,,,,,,,,
TR-466,Ethylbenzene,DTXSID3020596,100-41-4,Negative,,,Negative,Negative,,,,,
TR-185,Styrene,DTXSID2021284,100-42-5,Negative,,,,,,,,,
TR-324,Boric acid,DTXSID1020194,10043-35-3,Negative; Equivocal,,,,,,,,,
,Benzyl chloride,DTXSID0020153,100-44-7,Weakly Positive; Weakly Positive; Weakly Positive,,,,,,,,,
,Benzonitrile,DTXSID7021491,100-47-0,Negative; Negative,,,Negative,Negative,,,,,
