full_organ,organ
FEMALE_MICE_ADRENAL_GLAND_CORTEX,ADRENAL_GLAND_CORTEX
FEMALE_RATS_ADRENAL_GLAND_CORTEX,ADRENAL_GLAND_CORTEX
MALE_RATS_ADRENAL_GLAND_CORTEX,ADRENAL_GLAND_CORTEX
FEMALE_MICE_ADRENAL_GLAND_MEDULLA,ADRENAL_GLAND_MEDULLA
MALE_MICE_ADRENAL_GLAND_MEDULLA,ADRENAL_GLAND_MEDULLA
FEMALE_RATS_ADRENAL_GLAND_MEDULLA,ADRENAL_GLAND_MEDULLA
MALE_RATS_ADRENAL_GLAND_MEDULLA,ADRENAL_GLAND_MEDULLA
FEMALE_MICE_ALL_ORGANS,ALL_ORGANS
MALE_MICE_ALL_ORGANS,ALL_ORGANS
FEMALE_RATS_ALL_ORGANS,ALL_ORGANS
MALE_RATS_ALL_ORGANS,ALL_ORGANS
MALE_RATS_BONE,BONE
FEMALE_MICE_BRAIN,BRAIN
MALE_MICE_BRAIN,BRAIN
FEMALE_RATS_BRAIN,BRAIN
MALE_RATS_BRAIN,BRAIN
FEMALE_RATS_CLITORAL_GLAND,CLITORAL_GLAND
MALE_MICE_EPIDIDYMIS,EPIDIDYMIS
MALE_RATS_EPIDIDYMIS,EPIDIDYMIS
MALE_RATS_EPIDIDYMIS_OR_TESTIS,EPIDIDYMIS_OR_TESTIS
FEMALE_MICE_ESOPHAGUS,ESOPHAGUS
MALE_MICE_ESOPHAGUS,ESOPHAGUS
FEMALE_RATS_ESOPHAGUS,ESOPHAGUS
MALE_RATS_ESOPHAGUS,ESOPHAGUS
FEMALE_MICE_FORESTOMACH,FORESTOMACH
MALE_MICE_FORESTOMACH,FORESTOMACH
FEMALE_RATS_FORESTOMACH,FORESTOMACH
MALE_RATS_FORESTOMACH,FORESTOMACH
MALE_MICE_GLANDULAR_STOMACH,GLANDULAR_STOMACH
FEMALE_RATS_GLANDULAR_STOMACH,GLANDULAR_STOMACH
MALE_RATS_GLANDULAR_STOMACH,GLANDULAR_STOMACH
FEMALE_MICE_HARDERIAN_GLAND,HARDERIAN_GLAND
MALE_MICE_HARDERIAN_GLAND,HARDERIAN_GLAND
FEMALE_MICE_HEART,HEART
MALE_MICE_HEART,HEART
FEMALE_RATS_HEART,HEART
MALE_RATS_HEART,HEART
FEMALE_MICE_HEMATOPOIETIC_SYSTEM,HEMATOPOIETIC_SYSTEM
MALE_MICE_HEMATOPOIETIC_SYSTEM,HEMATOPOIETIC_SYSTEM
FEMALE_RATS_HEMATOPOIETIC_SYSTEM,HEMATOPOIETIC_SYSTEM
MALE_RATS_HEMATOPOIETIC_SYSTEM,HEMATOPOIETIC_SYSTEM
FEMALE_MICE_INTESTINES_LARGE,INTESTINES_LARGE
MALE_MICE_INTESTINES_LARGE,INTESTINES_LARGE
FEMALE_RATS_INTESTINES_LARGE,INTESTINES_LARGE
MALE_RATS_INTESTINES_LARGE,INTESTINES_LARGE
FEMALE_MICE_INTESTINES_SMALL,INTESTINES_SMALL
MALE_MICE_INTESTINES_SMALL,INTESTINES_SMALL
FEMALE_RATS_INTESTINES_SMALL,INTESTINES_SMALL
MALE_RATS_INTESTINES_SMALL,INTESTINES_SMALL
MALE_MICE_KIDNEY,KIDNEY
MALE_RATS_KIDNEY,KIDNEY
FEMALE_RATS_KIDNEY_MESENCHYMAL_CELL,KIDNEY_MESENCHYMAL_CELL
FEMALE_RATS_KIDNEY_TRANSITIONAL_CELL,KIDNEY_TRANSITIONAL_CELL
MALE_RATS_KIDNEY_TRANSITIONAL_CELL,KIDNEY_TRANSITIONAL_CELL
FEMALE_MICE_KIDNEY_TUBULAR_CELL,KIDNEY_TUBULAR_CELL
MALE_MICE_KIDNEY_TUBULAR_CELL,KIDNEY_TUBULAR_CELL
FEMALE_RATS_KIDNEY_TUBULAR_CELL,KIDNEY_TUBULAR_CELL
MALE_RATS_KIDNEY_TUBULAR_CELL,KIDNEY_TUBULAR_CELL
FEMALE_FISH_LIVER,LIVER
MALE_FISH_LIVER,LIVER
FEMALE_MICE_LIVER,LIVER
