Publication Number,Chemical Name,Depositor Chemical Name,DTXSID,CASRN,Species,Strain,Study Number,MALE_RATS_TR_RESULT,FEMALE_RATS_TR_RESULT,MALE_MICE_TR_RESULT,FEMALE_MICE_TR_RESULT,MALE_HAMSTERS_TR_RESULT,FEMALE_HAMSTERS_TR_RESULT,MALE_FISH_TR_RESULT,FEMALE_FISH_TR_RESULT,MALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_MICE_ADRENAL_GLAND_CORTEX,MALE_RATS_ADRENAL_GLAND_MEDULLA,FEMALE_RATS_ADRENAL_GLAND_MEDULLA,MALE_MICE_ADRENAL_GLAND_MEDULLA,FEMALE_MICE_ADRENAL_GLAND_MEDULLA,MALE_RATS_ALL_ORGANS,FEMALE_RATS_ALL_ORGANS,MALE_MICE_ALL_ORGANS,FEMALE_MICE_ALL_ORGANS,MALE_RATS_BONE,MALE_RATS_BRAIN,FEMALE_RATS_BRAIN,MALE_MICE_BRAIN,FEMALE_MICE_BRAIN,FEMALE_RATS_CLITORAL_GLAND,MALE_RATS_EPIDIDYMIS,MALE_MICE_EPIDIDYMIS,MALE_RATS_EPIDIDYMIS_OR_TESTIS,MALE_RATS_ESOPHAGUS,FEMALE_RATS_ESOPHAGUS,MALE_MICE_ESOPHAGUS,FEMALE_MICE_ESOPHAGUS,MALE_RATS_FORESTOMACH,FEMALE_RATS_FORESTOMACH,MALE_MICE_FORESTOMACH,FEMALE_MICE_FORESTOMACH,MALE_RATS_GLANDULAR_STOMACH,FEMALE_RATS_GLANDULAR_STOMACH,MALE_MICE_GLANDULAR_STOMACH,MALE_MICE_HARDERIAN_GLAND,FEMALE_MICE_HARDERIAN_GLAND,MALE_RATS_HEART,FEMALE_RATS_HEART,MALE_MICE_HEART,FEMALE_MICE_HEART,MALE_RATS_HEMATOPOIETIC_SYSTEM,FEMALE_RATS_HEMATOPOIETIC_SYSTEM,MALE_MICE_HEMATOPOIETIC_SYSTEM,FEMALE_MICE_HEMATOPOIETIC_SYSTEM,MALE_RATS_INTESTINES_LARGE,FEMALE_RATS_INTESTINES_LARGE,MALE_MICE_INTESTINES_LARGE,FEMALE_MICE_INTESTINES_LARGE,MALE_RATS_INTESTINES_SMALL,FEMALE_RATS_INTESTINES_SMALL,MALE_MICE_INTESTINES_SMALL,FEMALE_MICE_INTESTINES_SMALL,MALE_RATS_KIDNEY,MALE_MICE_KIDNEY,FEMALE_RATS_KIDNEY_MESENCHYMAL_CELL,MALE_RATS_KIDNEY_TRANSITIONAL_CELL,FEMALE_RATS_KIDNEY_TRANSITIONAL_CELL,MALE_RATS_KIDNEY_TUBULAR_CELL,FEMALE_RATS_KIDNEY_TUBULAR_CELL,MALE_MICE_KIDNEY_TUBULAR_CELL,FEMALE_MICE_KIDNEY_TUBULAR_CELL,MALE_RATS_LIVER,FEMALE_RATS_LIVER,MALE_MICE_LIVER,FEMALE_MICE_LIVER,MALE_FISH_LIVER,FEMALE_FISH_LIVER,MALE_RATS_LUNG,FEMALE_RATS_LUNG,MALE_MICE_LUNG,FEMALE_MICE_LUNG,MALE_RATS_MAMMARY_GLAND,FEMALE_RATS_MAMMARY_GLAND,FEMALE_MICE_MAMMARY_GLAND,MALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_RATS_NASAL_CAVITY,FEMALE_RATS_NASAL_CAVITY,MALE_MICE_NASAL_CAVITY,FEMALE_MICE_NASAL_CAVITY,MALE_RATS_ORAL_CAVITY,FEMALE_RATS_ORAL_CAVITY,MALE_MICE_ORAL_CAVITY,FEMALE_MICE_ORAL_CAVITY,FEMALE_MICE_OVARY,MALE_RATS_PANCREAS_ACINAR_CELL,FEMALE_RATS_PANCREAS_ACINAR_CELL,MALE_RATS_PANCREAS_ISLET_CELL,FEMALE_RATS_PANCREAS_ISLET_CELL,MALE_MICE_PANCREAS_ISLET_CELL,FEMALE_MICE_PANCREAS_ISLET_CELL,MALE_RATS_PARATHYROID_GLAND,MALE_RATS_PITUITARY_GLAND,FEMALE_RATS_PITUITARY_GLAND,MALE_MICE_PITUITARY_GLAND,FEMALE_MICE_PITUITARY_GLAND,MALE_RATS_PREPUTIAL_GLAND,MALE_MICE_PREPUTIAL_GLAND,MALE_RATS_PROSTATE_GLAND,MALE_RATS_SEMINAL_VESICLE,MALE_MICE_SEMINAL_VESICLE,MALE_RATS_SKIN,FEMALE_RATS_SKIN,MALE_MICE_SKIN,FEMALE_MICE_SKIN,MALE_RATS_SPLEEN,FEMALE_RATS_SPLEEN,MALE_MICE_SPLEEN,FEMALE_MICE_SPLEEN,MALE_RATS_SUBCUTANEOUS_TISSUE,FEMALE_RATS_SUBCUTANEOUS_TISSUE,MALE_MICE_SUBCUTANEOUS_TISSUE,FEMALE_MICE_SUBCUTANEOUS_TISSUE,MALE_RATS_TESTIS,MALE_RATS_THORACIC_CAVITY,MALE_RATS_THYMUS,MALE_RATS_THYROID_GLAND,FEMALE_RATS_THYROID_GLAND,MALE_RATS_THYROID_GLAND_CCELL,FEMALE_RATS_THYROID_GLAND_CCELL,FEMALE_MICE_THYROID_GLAND_CCELL,MALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,MALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,MALE_RATS_URETER,FEMALE_RATS_URETER,MALE_MICE_URETER,FEMALE_MICE_URETER,MALE_RATS_URINARY_BLADDER,FEMALE_RATS_URINARY_BLADDER,MALE_MICE_URINARY_BLADDER,FEMALE_MICE_URINARY_BLADDER,MALE_MICE_URINARY_SYSTEM,FEMALE_MICE_URINARY_SYSTEM,FEMALE_RATS_UTERUS,FEMALE_MICE_UTERUS,FEMALE_RATS_UTERUSCERVIX,FEMALE_MICE_UTERUSCERVIX,FEMALE_MICE_VAGINA,MALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_RATS_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_LIVER,FEMALE_MICE_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,FEMALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,MALE_RATS_VASCULAR_SYSTEM_SPLEEN,MALE_MICE_VASCULAR_SYSTEM_SPLEEN,FEMALE_MICE_VASCULAR_SYSTEM_SPLEEN,MALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,MALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,MALE_RATS_ZYMBAL_GLAND,FEMALE_RATS_ZYMBAL_GLAND,MALE_MICE_ZYMBAL_GLAND,FEMALE_MICE_ZYMBAL_GLAND
TR-418,p-Nitroaniline,p-Nitroaniline,DTXSID8020961,100-01-6,Mice,B6C3F1,C60786B,,,Equivocal Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~HEMANGIOSARCOMA 0/50 1/50 2/50 4/50,,,,,,,,,,,,,,
TR-418,p-Nitroaniline,p-Nitroaniline,DTXSID8020961,100-01-6,Mice,B6C3F1,C60786B,,,Equivocal Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~HEMANGIOMA 1/50 2/50 1/50 2/50 OR HEMANGIOSARCOMA 4/50 1/50 3/50 8/50 COMBINED 5/50 3/50 4/50 10/50,,,,,
TR-417,p-Nitrophenol,p-Nitrophenol,DTXSID0021834,100-02-7,Mice,Swiss Webster,C55992B,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-471,Cobalt sulfate heptahydrate,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Mice,B6C3F1,C61530B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ALVEOLAR/BRONCHIOLAR ADENOMA 9/50 12/50 13/50 18/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 4/50 5/50 7/50 11/50 COMBINED 11/50 14/50 19/50 28/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-471,Cobalt sulfate heptahydrate,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Mice,B6C3F1,C61530B,,,Clear Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ALVEOLAR/BRONCHIOLAR ADENOMA 3/50 6/50 9/50 10/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 1/50 1/50 4/50 9/50 COMBINED 4/50 7/50 13/50 18/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-471,Cobalt sulfate heptahydrate,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Rats,F344/N,C61530B,Some Evidence,Clear Evidence,,,,,,,,,,"May Have Been Related~BENIGN PHEOCHROMOCYTOMA 14/50 19/50 23/49 20/50, MALIGNANT PHEOCHROMOCYTOMA 0/50 2/50 2/49 2/50, OR COMPLEX PHEOCHROMOCYTOMA 1/50 0/50 1/49 0/50 COMBINED 15/50 19/50 25/49 20/50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-471,Cobalt sulfate heptahydrate,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Rats,F344/N,C61530B,Some Evidence,Clear Evidence,,,,,,,,,,,"Neoplastic Lesions~BENIGN PHEOCHROMOCYTOMA 2/48 1/49 3/50 8/48, MALIGNANT PHEOCHROMOCYTOMA 0/48 0/49 1/50 1/48 OR COMPLEX PHEOCHROMOCYTOMA 0/48 0/49 0/50 1/48 COMBINED 2/48 1/49 4/50 10/48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-471,Cobalt sulfate heptahydrate,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Rats,F344/N,C61530B,Some Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ALVEOLAR/BRONCHIOLAR ADENOMA 1/50 4/50 1/48 6/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 0/50 0/50 3/48 1/50 COMBINED 1/50 4/50 4/48 7/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-471,Cobalt sulfate heptahydrate,Cobalt sulfate heptahydrate,DTXSID7020340,10026-24-1,Rats,F344/N,C61530B,Some Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ALVEOLAR/BRONCHIOLAR ADENOMA 0/50 1/49 10/50 9/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 0/50 2/49 6/50 6/50 COMBINED 0/50 3/49 16/50 16/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-440,Ozone,Ozone,DTXSID0021098,10028-15-6,Mice,B6C3F1,C88034,,,Equivocal Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(2 YR. STUDY) ALVEOLAR/BRONCHIOLAR ADENOMA 6/50 9/50 12/50 11/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 8/50 4/50 8/50 10/50 COMBINED 14/50 13/50 18/50 19/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
