sf_casrn,sf_exp_name,sf_numsites,roc_15th_listing,roc_flag,iarc_exp_name,iarc_flag,atsdr_exp_name,atsdr_flag,cebsgt_exp_name,cebsgt_pubnum,cebsgt_dtxsid,cebsgt_ames_conclusion,cebsgt_male_rat_micronucleus,cebsgt_female_rat_micronucleus,cebsgt_male_mouse_micronucleus,cebsgt_female_mouse_micronucleus,cebsgt_mn_conclusion,cebsgt_male_rat_comet,cebsgt_female_rat_comet,cebsgt_male_mouse_comet,cebsgt_female_mouse_comet,cebsgt_flag,genetox_flag,cebs_exp_name,cebs_dtxsid,cebs_male_rats,cebs_female_rats,cebs_male_mice,cebs_female_mice,cebs_flag,organ_flag
100-01-6,4-NITROANILINE,13,,False,,False,,False,p-Nitroaniline,TR-418,DTXSID8020961,Positive,,,,,,,,,,Evidence,True,p-Nitroaniline,DTXSID8020961,,,,,No Evidence,True
100-02-7,4-NITROPHENOL,44,,False,,False,,False,p-Nitrophenol,TR-417,DTXSID0021834,Negative,,,,,,,,,,No Evidence,True,p-Nitrophenol,DTXSID0021834,,,,,No Evidence,True
100-21-0,TEREPHTHALIC ACID,1,,False,,False,,False,Terephthalic acid,,DTXSID6026080,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
100-25-4,"1,4-DINITROBENZENE",1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
100-39-0,ALPHA-BROMOTOLUENE,1,,False,,False,,False,alpha-Bromotoluene,,DTXSID8024658,Positive,,,,,,,,,,Evidence,True,,,,,,,,False
100-41-4,ETHYLBENZENE,576,,False,Ethylbenzene,True,ETHYLBENZENE,True,Ethylbenzene,TR-466,DTXSID3020596,Negative,,,Negative,Negative,,,,,,No Evidence,True,Ethylbenzene,DTXSID3020596,"KIDNEY_TUBULAR_CELL,TESTIS",KIDNEY_TUBULAR_CELL,LUNG,LIVER,Evidence,True
100-42-5,STYRENE (MONOMER);VINYLBENZENE;STYRENE,151,RAHC,True,Styrene,True,STYRENE,True,Styrene,TR-185,DTXSID2021284,Negative,,,,,,,,,,No Evidence,True,Styrene,DTXSID2021284,,,,,No Evidence,True
100-44-7,BENZYL CHLORIDE,4,,False,"alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)",True,,False,Benzyl chloride,,DTXSID0020153,Weakly Positive,,,,,,,,,,Weak Evidence,True,,,,,,,,False
100-47-0,BENZONITRILE,1,,False,,False,,False,Benzonitrile,,DTXSID7021491,Negative,,,Negative,Negative,,,,,,No Evidence,True,,,,,,,,False
100-51-6,BENZYL ALCOHOL,34,,False,,False,,False,Benzyl alcohol,TR-343,DTXSID5020152,Negative,,,,,,,,,,No Evidence,True,Benzyl alcohol,DTXSID5020152,,,,,No Evidence,True
100-52-7,BENZALDEHYDE,4,,False,,False,,False,Benzaldehyde,TR-378,DTXSID8039241,Negative,,,,,,,,,,No Evidence,True,Benzaldehyde,DTXSID8039241,,,FORESTOMACH,FORESTOMACH,Evidence,True
100-71-0,2-ETHYLPYRIDINE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
1002-53-5,DIBUTYLTIN,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10025-73-7,CHROMIUM CHLORIDE (3),5,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10028-17-8,TRITIUM,12,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10043-92-2,RADON,14,Known,True,Radon-222 and its decay products,True,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10045-89-3,FERROUS AMMONIUM SULFATE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10045-97-3,CESIUM-137,16,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10049-05-5,CHROMOUS CHLORIDE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10061-01-5,"cis-1,3,-DICHLOROPROPENE",15,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10061-02-6,"TRANS-1,3-DICHLOROPROPENE",26,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10098-97-2,STRONTIUM-90,12,,False,Strontium-90 (see Fission products),True,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10099-74-8,LEAD NITRATE,2,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
101-14-4,"4,4-METHYLENEBIS (2-CHLOROANILINE);4,4-METHYLENE BIS (2 CHLOROANILINE)",1,RAHC,True,"4,4'-Methylenebis(2-chloroaniline) (MOCA)",True,"4,4'-METHYLENEBIS(2-CHLOROANILINE) (MBOCA)",True,"4,4'-Methylenebis(2-chloroaniline)",,DTXSID5020865,Equivocal;Positive;Weakly Positive,,,,,,,,,,Evidence,True,,,,,,,,False
101-55-3,4-BROMOPHENYL PHENYL ETHER,4,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10101-53-8,CHROMIC SULFATE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10102-06-4,URANYL NITRATE SOLID,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
102-71-6,TRIETHANOLAMINE,1,,False,Triethanolamine,True,,False,Triethanolamine,"TR-449, TR-518",DTXSID9021392,Negative,,,Negative,Negative,,,,,,No Evidence,True,Triethanolamine,DTXSID9021392,,,,LIVER,Evidence,True
1024-57-3,HEPTACHLOR EPOXIDE,163,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10294-33-4,BORON TRIBROMIDE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,2,,False,Di(2-ethylhexyl) adipate,True,,False,Di(2-ethylhexyl)adipate,TR-212,DTXSID0020606,Negative,,,Negative,,,,,,,No Evidence,True,Di(2-ethylhexyl)adipate,DTXSID0020606,,,LIVER,LIVER,Evidence,True
103-33-3,AZOBENZENE,2,,False,Azobenzene,True,,False,Azobenzene,TR-154,DTXSID8020123,Positive,,,,,,,,,,Evidence,True,Azobenzene,DTXSID8020123,SPLEEN,SPLEEN,,,Evidence,True
103-65-1,N-PROPYL BENZENE,21,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
